ID	delta_epsilon_quintiles_paste
AT1TE28370	11
AT1TE37215	55
AT1TE38940	11
AT1TE40355	15
AT1TE41230	11
AT1TE41345	11
AT1TE41735	51
AT1TE42210	11
AT1TE43225	51
AT1TE43355	51
AT1TE43585	11
AT1TE43605	11
AT1TE43910	11
AT1TE44450	11
AT1TE44455	11
AT1TE44525	55
AT1TE44630	11
AT1TE44690	55
AT1TE44825	11
AT1TE45135	55
AT1TE45175	55
AT1TE45200	55
AT1TE45355	55
AT1TE45360	11
AT1TE45790	55
AT1TE45800	55
AT1TE46260	11
AT1TE46265	55
AT1TE46405	15
AT1TE46635	55
AT1TE47720	55
AT1TE48660	55
AT1TE48735	55
AT1TE48745	55
AT1TE48765	55
AT1TE48835	55
AT1TE49260	55
AT1TE49300	55
AT1TE49370	55
AT1TE49410	55
AT1TE49425	55
AT1TE49480	55
AT1TE49510	55
AT1TE49540	55
AT1TE49570	55
AT1TE49715	55
AT1TE49765	55
AT1TE49780	55
AT1TE49845	55
AT1TE49850	55
AT1TE49870	55
AT1TE49920	55
AT1TE49960	55
AT1TE50020	55
AT1TE50105	55
AT1TE50145	55
AT1TE50220	55
AT1TE50250	55
AT1TE50260	55
AT1TE50375	11
AT1TE50415	55
AT1TE50495	55
AT1TE50535	55
AT1TE50575	55
AT1TE50615	55
AT1TE50650	55
AT1TE50685	55
AT1TE50700	55
AT1TE50765	55
AT1TE50810	11
AT1TE50860	55
AT1TE50975	55
AT1TE50985	55
AT1TE51040	55
AT1TE51050	55
AT1TE51070	55
AT1TE51385	11
AT1TE51650	11
AT1TE51665	11
AT1TE51960	11
AT1TE52105	55
AT1TE52590	11
AT1TE52610	11
AT1TE52865	55
AT1TE53330	11
AT1TE53710	51
AT1TE53735	51
AT1TE53995	55
AT1TE54625	11
AT1TE54665	55
AT1TE54760	11
AT1TE54805	55
AT1TE55000	55
AT1TE58505	11
AT1TE58700	15
AT1TE65060	11
AT1TE74860	11
AT2TE00015	15
AT2TE00035	15
AT2TE01000	11
AT2TE06550	51
AT2TE06885	11
AT2TE09100	11
AT2TE09360	11
AT2TE09570	11
AT2TE10500	11
AT2TE10620	11
AT2TE10915	11
AT2TE11805	11
AT2TE11890	11
AT2TE12060	11
AT2TE12140	11
AT2TE12270	11
AT2TE12555	55
AT2TE12660	11
AT2TE12960	11
AT2TE13350	55
AT2TE13385	15
AT2TE13685	11
AT2TE13735	11
AT2TE13955	55
AT2TE16160	11
AT2TE16910	11
AT2TE17390	11
AT2TE18035	51
AT2TE18415	11
AT2TE18450	11
AT2TE19505	11
AT2TE19535	55
AT2TE19995	11
AT2TE20260	55
AT2TE20435	55
AT2TE20480	11
AT2TE20835	11
AT2TE20960	55
AT2TE21440	55
AT2TE21450	55
AT2TE21480	55
AT2TE21505	55
AT2TE21605	11
AT2TE21710	11
AT2TE21805	11
AT2TE22040	11
AT2TE22185	11
AT2TE22345	55
AT2TE22505	55
AT2TE23120	11
AT2TE23510	55
AT2TE23545	11
AT2TE23705	11
AT2TE23845	15
AT2TE24525	11
AT2TE24880	55
AT2TE24960	11
AT2TE25490	11
AT2TE25875	11
AT2TE26610	55
AT2TE28020	11
AT2TE31215	11
AT2TE34410	11
AT2TE35840	15
AT2TE37050	15
AT2TE38245	51
AT3TE38595	11
AT3TE40420	15
AT3TE43460	11
AT3TE46520	51
AT3TE47240	51
AT3TE47280	55
AT3TE48170	55
AT3TE48590	11
AT3TE50130	55
AT3TE50260	55
AT3TE50605	55
AT3TE51460	11
AT3TE51690	11
AT3TE51895	51
AT3TE52775	11
AT3TE53100	55
AT3TE53605	11
AT3TE53985	11
AT3TE54950	11
AT3TE55230	11
AT3TE55330	55
AT3TE55340	55
AT3TE55360	55
AT3TE55395	55
AT3TE56040	55
AT3TE57125	55
AT3TE57480	55
AT3TE57550	55
AT3TE58635	11
AT3TE58975	11
AT3TE59015	55
AT3TE59210	51
AT3TE59230	55
AT3TE60020	11
AT3TE60245	11
AT3TE60280	11
AT3TE60465	11
AT3TE60520	55
AT3TE60525	55
AT3TE61010	11
AT3TE61015	11
AT3TE61035	11
AT3TE61290	11
AT3TE61295	55
AT3TE61305	55
AT3TE61525	11
AT3TE61555	55
AT3TE62020	55
AT3TE62025	55
AT3TE62220	11
AT3TE62655	11
AT3TE63035	11
AT3TE63050	11
AT3TE63165	11
AT3TE65525	11
AT3TE67325	11
AT3TE72850	15
AT4TE05190	11
AT4TE07420	11
AT4TE08445	11
AT4TE08990	15
AT4TE09075	55
AT4TE09385	55
AT4TE09560	11
AT4TE09565	11
AT4TE09580	11
AT4TE10345	11
AT4TE10350	11
AT4TE10585	11
AT4TE10675	11
AT4TE12620	55
AT4TE13515	11
AT4TE14540	55
AT4TE15025	55
AT4TE15030	55
AT4TE15080	11
AT4TE15365	11
AT4TE16150	11
AT4TE16165	55
AT4TE16200	11
AT4TE16400	55
AT4TE16565	55
AT4TE16570	55
AT4TE16590	11
AT4TE16945	55
AT4TE17360	55
AT4TE18245	55
AT4TE18330	55
AT4TE18485	55
AT4TE18500	55
AT4TE18720	55
AT4TE19025	55
AT4TE19180	55
AT4TE19835	11
AT4TE20535	55
AT4TE20745	55
AT4TE21055	55
AT4TE21090	55
AT4TE22570	55
AT4TE23430	11
AT4TE29830	15
AT4TE50435	15
AT4TE52315	15
AT4TE85580	11
AT5TE08870	11
AT5TE22990	11
AT5TE31020	55
AT5TE34980	11
AT5TE36645	11
AT5TE37800	11
AT5TE37825	11
AT5TE38635	55
AT5TE38815	51
AT5TE39295	11
AT5TE39315	11
AT5TE40410	55
AT5TE40420	55
AT5TE40425	11
AT5TE40455	55
AT5TE41070	55
AT5TE41355	11
AT5TE41615	11
AT5TE41865	55
AT5TE41885	11
AT5TE42025	11
AT5TE42135	55
AT5TE42190	55
AT5TE42360	55
AT5TE42440	55
AT5TE42470	55
AT5TE42710	55
AT5TE42855	55
AT5TE43260	55
AT5TE43360	11
AT5TE43520	11
AT5TE43665	55
AT5TE44205	55
AT5TE44415	11
AT5TE45010	11
AT5TE46060	55
AT5TE46090	55
AT5TE46105	55
AT5TE46670	11
AT5TE46800	55
AT5TE46805	11
AT5TE46855	55
AT5TE47115	55
AT5TE47400	11
AT5TE49075	55
AT5TE49495	11
AT5TE49650	11
AT5TE50775	15
AT5TE50965	11
AT5TE51000	11
AT5TE51685	11
AT5TE55145	55
AT5TE56780	11
AT5TE57635	11
AT5TE62455	11
AT5TE62545	11
AT5TE63610	15
AT5TE65370	11
AT5TE78640	11
