ID	d2_delta_epsilon_quintiles_paste
AT1TE18370	11
AT1TE20315	11
AT1TE35305	55
AT1TE37215	55
AT1TE39515	11
AT1TE40355	15
AT1TE41735	11
AT1TE42225	15
AT1TE42800	11
AT1TE45135	55
AT1TE45175	55
AT1TE45315	55
AT1TE45355	55
AT1TE45800	55
AT1TE46260	11
AT1TE46700	55
AT1TE47655	55
AT1TE48745	55
AT1TE48765	55
AT1TE48835	55
AT1TE49320	55
AT1TE49370	15
AT1TE49410	15
AT1TE49425	15
AT1TE49480	15
AT1TE49510	15
AT1TE49540	15
AT1TE49570	15
AT1TE49715	15
AT1TE49765	15
AT1TE49780	15
AT1TE49870	15
AT1TE49920	15
AT1TE49955	55
AT1TE50020	15
AT1TE50105	15
AT1TE50145	15
AT1TE50175	15
AT1TE50220	15
AT1TE50250	15
AT1TE50260	15
AT1TE50270	15
AT1TE50275	15
AT1TE50280	15
AT1TE50495	15
AT1TE50535	15
AT1TE50615	15
AT1TE50650	15
AT1TE50685	15
AT1TE50700	15
AT1TE50740	15
AT1TE50745	15
AT1TE50750	15
AT1TE51045	55
AT1TE51050	55
AT1TE51650	11
AT1TE51665	11
AT1TE51685	11
AT1TE51960	15
AT1TE52085	11
AT1TE52105	55
AT1TE52610	11
AT1TE53395	55
AT1TE53710	51
AT1TE54990	55
AT1TE57025	11
AT1TE57220	55
AT1TE58700	55
AT1TE59235	11
AT1TE71045	51
AT1TE72060	11
AT1TE74860	11
AT2TE00010	55
AT2TE06550	51
AT2TE06885	11
AT2TE08385	11
AT2TE10500	11
AT2TE10965	11
AT2TE10980	55
AT2TE11400	11
AT2TE11770	11
AT2TE11890	11
AT2TE12060	11
AT2TE12225	11
AT2TE12270	11
AT2TE12320	11
AT2TE13080	51
AT2TE13245	11
AT2TE13350	55
AT2TE13445	11
AT2TE13755	11
AT2TE13850	11
AT2TE13970	11
AT2TE15490	55
AT2TE16390	11
AT2TE16890	11
AT2TE17145	11
AT2TE17390	11
AT2TE17610	55
AT2TE17625	55
AT2TE18395	11
AT2TE18410	55
AT2TE18455	55
AT2TE18625	51
AT2TE18695	11
AT2TE18875	11
AT2TE19505	11
AT2TE20645	11
AT2TE20810	11
AT2TE20835	11
AT2TE21105	11
AT2TE21265	11
AT2TE21440	55
AT2TE21480	55
AT2TE22075	55
AT2TE22235	11
AT2TE22720	11
AT2TE23120	11
AT2TE23855	55
AT2TE25490	11
AT2TE25875	11
AT2TE26470	51
AT2TE26785	55
AT2TE27465	55
AT2TE28020	11
AT2TE29450	55
AT2TE35840	15
AT2TE38245	11
AT2TE38900	55
AT2TE40165	51
AT2TE69630	11
AT3TE20780	15
AT3TE40420	15
AT3TE41650	51
AT3TE47880	55
AT3TE48170	55
AT3TE50125	55
AT3TE50130	55
AT3TE50595	55
AT3TE50940	55
AT3TE51365	55
AT3TE51370	55
AT3TE51500	11
AT3TE52180	11
AT3TE52415	51
AT3TE52420	55
AT3TE52435	51
AT3TE52775	11
AT3TE53045	11
AT3TE53060	11
AT3TE53100	55
AT3TE53230	51
AT3TE53605	11
AT3TE53885	51
AT3TE54330	55
AT3TE54605	11
AT3TE55140	11
AT3TE55160	11
AT3TE55230	11
AT3TE55330	55
AT3TE57125	55
AT3TE57645	11
AT3TE58010	55
AT3TE58635	11
AT3TE59075	11
AT3TE59600	55
AT3TE59660	55
AT3TE59695	55
AT3TE60280	11
AT3TE60510	55
AT3TE60520	55
AT3TE60525	55
AT3TE60875	11
AT3TE60915	11
AT3TE61050	55
AT3TE61535	55
AT3TE61555	55
AT3TE61600	55
AT3TE61645	55
AT3TE62020	55
AT3TE62025	55
AT3TE62100	11
AT3TE62440	11
AT3TE62455	55
AT3TE62595	11
AT3TE62685	55
AT3TE62940	55
AT3TE64160	51
AT3TE65835	11
AT3TE67325	11
AT3TE67540	11
AT3TE67635	15
AT3TE68730	55
AT3TE71565	11
AT4TE04415	55
AT4TE08995	55
AT4TE09075	55
AT4TE09245	51
AT4TE09480	11
AT4TE09565	11
AT4TE10600	55
AT4TE11390	11
AT4TE13565	55
AT4TE13850	55
AT4TE13880	11
AT4TE14085	11
AT4TE14445	55
AT4TE14840	15
AT4TE15750	55
AT4TE15950	55
AT4TE16400	55
AT4TE17500	55
AT4TE18060	55
AT4TE18605	55
AT4TE18720	55
AT4TE18775	55
AT4TE19025	55
AT4TE19530	51
AT4TE19935	11
AT4TE21055	55
AT4TE23575	11
AT4TE29830	55
AT4TE46305	11
AT4TE50435	55
AT5TE22500	11
AT5TE22990	11
AT5TE23185	55
AT5TE33315	11
AT5TE33455	55
AT5TE34980	11
AT5TE36330	11
AT5TE36645	11
AT5TE37085	11
AT5TE37330	51
AT5TE37800	11
AT5TE38340	11
AT5TE38635	55
AT5TE38650	55
AT5TE38815	51
AT5TE39090	15
AT5TE39230	11
AT5TE39940	11
AT5TE40080	11
AT5TE40340	11
AT5TE40455	55
AT5TE41325	15
AT5TE41370	11
AT5TE41870	55
AT5TE42045	11
AT5TE43045	11
AT5TE43520	11
AT5TE43815	55
AT5TE43990	11
AT5TE44205	55
AT5TE44415	11
AT5TE45010	11
AT5TE46175	11
AT5TE46190	11
AT5TE46220	11
AT5TE46235	11
AT5TE46370	11
AT5TE46670	11
AT5TE46725	11
AT5TE46800	55
AT5TE46865	11
AT5TE47100	55
AT5TE48740	11
AT5TE48820	55
AT5TE48930	11
AT5TE49325	11
AT5TE50380	11
AT5TE51000	11
AT5TE55145	55
AT5TE55490	51
AT5TE55555	51
AT5TE63610	15
