ID	ddm1_f2_1	ddm1_f3_1	ddm1_f4_1	ddm1_f4_2	ddm1_f5_1	h1_f4_1	h1ddm1_f10_1	h1ddm1_f11_1	h1ddm1_f11_2	h1ddm1_f2_1	h1ddm1_f2_2	h1ddm1_f3_1	h1ddm1_f3_2	h1ddm1_f3_3	h1ddm1_f4_1	h1ddm1_f4_2	h1ddm1_f5_1	h1ddm1_f5_2	h1ddm1_f6_1	h1ddm1_f6_2	h1ddm1_f7_1	h1ddm1_f7_2	h1ddm1_f8_1	h1ddm1_f8_2	h1ddm1_f9_1	h1ddm1_f9_2	h1ddm1cmt2_f2_1	h1ddm1cmt2_f3_1	h1ddm1cmt2_f3_2	h1ddm1cmt2_f4_1	h1ddm1cmt2_f4_2	h1ddm1cmt2_f4_3	h1ddm1cmt2_f5_1	h1ddm1cmt2_f5_2	h1ddm1cmt2_f5_3	h1ddm1cmt2_f6_1	h1ddm1cmt2_f6_2	h1ddm1cmt2_f7_1	h1ddm1cmt2_f7_2	h1ddm1cmt3_f3_1	h1ddm1cmt3_f4_1	h1ddm1cmt3_f4_2	h1ddm1cmt3_f4_3	h1ddm1cmt3_f5_1	h1ddm1cmt3_f5_2	h1ddm1cmt3_f6_1	h1ddm1cmt3_f6_2	h1ddm1cmt3_f7_1	h1ddm1cmt3_f7_2	h1ddm1drm2_f2_1	h1ddm1drm2_f3_1	h1ddm1drm2_f3_2	h1ddm1drm2_f4_1	h1ddm1drm2_f4_2	h1ddm1drm2_f5_1	h1ddm1drm2_f5_2	h1ddm1drm2_f6_1	h1ddm1drm2_f6_2	h1ddm1drm2_f7_1	h1ddm1drm2_f7_2	wt_f3_1	wt_f4_1	met1_f3_1
AT1TE08240	0.262295082	0.157088123	0.297767231	0.129836629	0.210325048	0.929802956	0.52569701	0.530980392	0.590551181	0.732585797	0.700244499	0.613477924	0.63255814	0.600314301	0.564561734	0.54848672	0.551703346	0.478411054	0.555269923	0.521378709	0.533879036	0.589958159	0.575033799	0.580906921	0.569241475	0.545816733	0.78649789	0.697916667	0.67961935	0.633843212	0.658523633	0.630653266	0.612235294	0.492326581	0.613346418	0.591346154	0.480392157	0.604505632	0.54670913	0.597051597	0.66163142	0.546357616	0.565114444	0.500749625	0.515350877	0.554455446	0.541561713	0.470404984	0.509803922	0.743784239	0.582159624	0.563253012	0.424406497	0.432234432	0.411764706	0.355572998	0.387182911	0.333092486	0.363846154	0.367883212	0.847933884	0.870149254	0.021003501
AT1TE09080	0.205290397	0.21756487	0.223188952	0.076384329	0.139419674	0.944276805	0.468960557	0.493117962	0.521321321	0.563356799	0.569938848	0.515084154	0.502161161	0.508140718	0.480681974	0.483937738	0.481713416	0.437734186	0.49538284	0.442274939	0.43769187	0.456192877	0.454545455	0.477689056	0.490449662	0.501314814	0.60023753	0.536295645	0.531321116	0.490883786	0.523162877	0.489241803	0.503028707	0.293262646	0.49778086	0.469158565	0.439635535	0.483293556	0.472577127	0.562818878	0.425864519	0.442871094	0.477162178	0.368582919	0.1910299	0.396156689	0.310344828	0.38501292	0.408291083	0.5361231	0.33855254	0.329662522	0.245319561	0.223975155	0.163591022	0.189073259	0.134148672	0.11158206	0.092085236	0.069696672	0.8548947	0.838131798	0.004602992
AT1TE12295	0.158807212	0.109570042	0.132893896	0.067110656	0.084185207	0.944646098	0.514368123	0.501490419	0.52049447	0.646305992	0.59622813	0.583988764	0.583333333	0.5	0.554737195	0.51864195	0.546079128	0.459327393	0.535428571	0.50199968	0.526951058	0.480531379	0.509363296	0.50467125	0.503707247	0.517818959	0.730022198	0.630188679	0.648320632	0.582567447	0.570237889	0.58423586	0.594447044	0.441848115	0.574824238	0.542928393	0.472941176	0.547807933	0.557256991	0.462946818	0.458365164	0.39375	0.468274112	0.367239102	0.371569317	0.400658617	0.367063492	0.384927066	0.388326848	0.656289111	0.469041561	0.478125	0.396889702	0.389545186	0.34738041	0.329676071	0.301886792	0.301540719	0.28733646	0.29879741	0.823329076	0.822638146	0.003147482
AT1TE14085	0.379876797	0.403162055	0.452768841	0.198789102	0.219315895	0.947557471	0.313847159	0.232410611	0.233562316	0.456305689	0.508115183	0.325119237	0.338082192	0.361296473	0.246533795	0.392572944	0.268113727	0.214473684	0.233505821	0.310178117	0.286774761	0.309549945	0.193857965	0.252112676	0.200506009	0.27117755	0.605493863	0.350021959	0.488060327	0.333469221	0.321083966	0.411366202	0.320736666	0.299318624	0.274518389	0.273172724	0.277258567	0.315412186	0.233817701	0.30141844	0.318681319	0.248493976	0.255419787	0.250562641	0.197758207	0.207889126	0.251995439	0.174423859	0.159266409	0.554252931	0.428909953	0.275747508	0.241929055	0.269597677	0.171717172	0.21604448	0.11104751	0.167152575	0.127659574	0.158139535	0.849761526	0.820554649	0
AT1TE15170	0.25	0.162055336	0.24423139	0.101465614	0.167410714	0.937804878	0.551696922	0.5479384	0.599483204	0.690975387	0.671494786	0.595017098	0.611832612	0.574547723	0.632371393	0.546941679	0.525941423	0.467975207	0.538947368	0.484647803	0.534604905	0.569711538	0.555191257	0.570683662	0.571942446	0.56044724	0.720489978	0.600760456	0.618905473	0.573072497	0.58622868	0.604166667	0.623952096	0.432068543	0.562737643	0.511198946	0.549019608	0.558178752	0.554404145	0.535796767	0.567164179	0.52919708	0.495238095	0.369090909	0.506493506	0.461038961	0.492113565	0.412144703	0.417127072	0.695756127	0.547979798	0.490322581	0.416011106	0.413213886	0.402843602	0.352996255	0.300319489	0.379695431	0.289241623	0.320578231	0.770114943	0.812824957	0.013824885
AT1TE18370	0.408510638	0.245	0.451513467	0.273148148	0.323943662	0.947589099	0.65080922	0.647171011	0.669172932	0.84687157	0.820861678	0.76879343	0.771681416	0.751628664	0.708751793	0.679245283	0.678414097	0.622874807	0.656790123	0.666666667	0.681674566	0.700598802	0.695244957	0.674745895	0.651572327	0.707556428	0.872756933	0.783519553	0.818810512	0.7609375	0.74939952	0.691046658	0.729122807	0.619602135	0.716927454	0.668686869	0.785714286	0.753398058	0.707979626	0.75	0.742990654	0.648780488	0.694587629	0.570987654	0.752808989	0.691099476	0.620253165	0.611275964	0.616477273	0.812217195	0.663793103	0.658634538	0.571428571	0.591397849	0.441717791	0.479297365	0.448637317	0.47523427	0.417012448	0.421176471	0.856850716	0.844660194	0.023172906
AT1TE18410	0.179153094	0.243445693	0.127796418	0.073800738	0.09403255	0.932858596	0.050616759	0.05218726	0.073270014	0.349025974	0.394500897	0.268214204	0.247769389	0.231111111	0.206455542	0.223694171	0.185703186	0.173611111	0.181965881	0.164678499	0.140701071	0.141943734	0.033869396	0.055168858	0.055010661	0.046545992	0.461538462	0.256395996	0.250254842	0.185932388	0.19851471	0.164556962	0.192587461	0.232351566	0.111821086	0.129164531	0.111940299	0.13372093	0.158455393	0.218323587	0.152941176	0.159624413	0.180873181	0.185617104	0.146503885	0.181972789	0.133709981	0.110826393	0.125647668	0.43827367	0.243494424	0.245472837	0.145093317	0.214453584	0.084577114	0.137520303	0.113636364	0.152308425	0.177004539	0.07405591	0.80209546	0.770541082	0.042348412
AT1TE19130	0.312339332	0.225352113	0.238842867	0.140408163	0.184792219	0.918094218	0.1687024	0.216192171	0.254861822	0.572762646	0.522881356	0.273638274	0.291185971	0.375785845	0.451763706	0.368800461	0.310960421	0.17244933	0.17865566	0.228392648	0.156439208	0.2664	0.158816098	0.174190801	0.17650514	0.175028121	0.65597148	0.476848091	0.5398142	0.434119782	0.434179223	0.410529938	0.291409782	0.292547569	0.317478294	0.236091298	0.302380952	0.197119712	0.301639344	0.281372549	0.245786517	0.223915592	0.248287113	0.177806619	0.205280528	0.211055276	0.217351598	0.211629747	0.194464676	0.584317522	0.447695035	0.415757576	0.219929055	0.26984127	0.203274216	0.228871242	0.155244755	0.152004164	0.131246845	0.125793845	0.832490518	0.804527885	0.00293772
AT1TE19430	0.224334601	0.275555556	0.269093535	0.112349914	0.166994106	0.961640212	0.363257454	0.28183172	0.306748466	0.525773196	0.545410628	0.384217781	0.400196657	0.427027027	0.370766488	0.361492046	0.33478803	0.325821596	0.2230869	0.326282628	0.352967228	0.299568966	0.323142251	0.301131419	0.338351254	0.304704595	0.643678161	0.44296875	0.479183673	0.447974583	0.426919519	0.395540875	0.362403101	0.340357599	0.365348399	0.282926829	0.298013245	0.29463171	0.282291667	0.446428571	0.3984375	0.350453172	0.451660517	0.372789116	0.376311844	0.223938224	0.333333333	0.255102041	0.279069767	0.559867487	0.423887588	0.398713826	0.274664562	0.3375	0.290540541	0.218898708	0.232472325	0.263909774	0.201398601	0.26419061	0.767948718	0.807692308	0.023684211
AT1TE20315	0.402930403	0.255319149	0.405515433	0.21971831	0.251716247	0.943223443	0.683253589	0.673871583	0.676829268	0.830862164	0.813096862	0.783164624	0.731854839	0.726712856	0.697841727	0.691629956	0.643169665	0.566993464	0.706586826	0.673775671	0.626953125	0.616847826	0.691489362	0.667425968	0.663430421	0.697730956	0.848837209	0.755464481	0.785714286	0.730659026	0.754761905	0.696236559	0.703304113	0.599385695	0.735791091	0.684210526	0.6875	0.705882353	0.700507614	0.738095238	0.688034188	0.695652174	0.662053057	0.541666667	0.698701299	0.621621622	0.606694561	0.621037464	0.633608815	0.84715872	0.639575972	0.687943262	0.622292994	0.534120735	0.50295858	0.49665328	0.415879017	0.456846951	0.356284153	0.35026455	0.815261044	0.861946903	0.018621974
